customer_id,first_name,last_name,date_of_birth,phone_number,email
0,Lewis,Alvarez,1987-07-21 00:00:00,1-795-485-4862,suspendisse@hotmail.edu
1,Drew,Bright,1988-03-05 00:00:00,1-114-428-2431,cubilia@protonmail.com
2,Cassandra,Dickson,1990-03-24 00:00:00,1-999-450-7135,nisi@yahoo.org
3,Ezra,Perry,1976-09-14 00:00:00,1-564-637-1655,vulputate.eu@icloud.couk
4,Althea,Trevino,1986-03-28 00:00:00,1-236-442-7392,felis.purus@yahoo.ca
5,Troy,Cunningham,1985-08-26 00:00:00,1-421-904-1431,posuere.vulputate@hotmail.ca
6,Alea,Downs,1984-05-07 00:00:00,1-164-578-4086,hendrerit.a@hotmail.org
7,Benjamin,Payne,1990-06-18 00:00:00,1-667-227-3115,augue@aol.edu
8,Tara,Haynes,1989-09-03 00:00:00,1-355-490-2322,dignissim.tempor.arcu@aol.ca
9,Talon,Herrera,1973-04-21 00:00:00,1-112-931-9432,nam.ac@google.edu
10,Ingrid,Snow,1974-10-05 00:00:00,1-384-733-5483,primis@google.edu
11,Zenaida,Bowers,1987-02-08 00:00:00,1-470-123-4421,molestie.tellus@icloud.org
12,Simone,Singleton,1986-07-09 00:00:00,1-642-933-4284,mi.lorem.vehicula@google.net
13,Althea,Coleman,1985-07-08 00:00:00,1-331-227-5156,amet.ornare@aol.com
14,Pamela,Garza,1991-10-18 00:00:00,1-668-791-8412,vitae@google.com
15,Karyn,Wall,1984-07-31 00:00:00,1-278-584-5234,ipsum@google.com
16,Quemby,Marshall,1989-12-20 00:00:00,1-267-578-1229,mauris@protonmail.org
17,Eliana,Booker,1984-10-28 00:00:00,1-427-867-6531,quis.lectus@yahoo.couk
18,Allistair,Christensen,1980-12-17 00:00:00,1-516-246-7312,sed.neque@protonmail.edu
19,Omar,Solis,1984-04-16 00:00:00,1-726-607-5754,id.nunc.interdum@aol.com
20,Hayfa,Mayer,1985-04-06 00:00:00,1-555-200-2653,nonummy.ipsum@protonmail.edu
21,Kameko,Cameron,1975-07-08 00:00:00,1-586-451-1475,accumsan.sed@hotmail.org
22,Boris,Walls,1983-07-24 00:00:00,1-335-643-1992,porttitor.scelerisque.neque@icloud.couk
23,Emmanuel,Ratliff,1986-12-04 00:00:00,1-303-422-6527,sapien.gravida.non@aol.org
24,Jenna,Lindsay,1973-10-10 00:00:00,1-987-248-1843,enim.suspendisse.aliquet@icloud.net
25,Laith,Fry,1980-04-26 00:00:00,1-964-117-2292,magnis@protonmail.net
26,Iris,Duran,1991-06-19 00:00:00,1-837-241-8271,ornare@outlook.com
27,Jade,Head,1973-07-07 00:00:00,1-951-372-9423,vulputate.velit.eu@icloud.org
28,Zane,Joseph,1988-03-09 00:00:00,1-386-901-0701,vulputate@icloud.edu
29,Keefe,Guerrero,1985-02-11 00:00:00,1-574-698-7130,diam.eu@outlook.net
30,Sopoline,King,1975-12-25 00:00:00,1-347-880-4775,leo@outlook.edu
31,Dieter,Roberts,1986-04-18 00:00:00,1-841-740-4731,ipsum.primis.in@protonmail.org
32,Bertha,Patrick,1989-11-12 00:00:00,1-157-808-0150,at.pede@yahoo.net
33,Kevin,Horne,1991-10-06 00:00:00,1-154-234-8608,magna.cras@hotmail.couk
34,Kirestin,Barnett,1988-08-03 00:00:00,1-851-530-4297,montes@google.org
35,Basil,Diaz,1989-08-28 00:00:00,1-278-458-6243,odio.sagittis@google.edu
36,Ginger,Massey,1978-11-27 00:00:00,1-756-472-6214,sit.amet@aol.com
37,Kamal,Hurst,1988-05-05 00:00:00,1-899-878-3656,etiam@protonmail.ca
38,Miriam,Ramirez,1977-01-19 00:00:00,1-136-234-4565,at.auctor.ullamcorper@hotmail.edu
39,Naida,Bryan,1983-01-14 00:00:00,1-358-136-4376,diam.nunc.ullamcorper@aol.couk
40,Dai,Le,1980-05-30 00:00:00,1-673-842-6542,pede.ac.urna@hotmail.com
41,Iliana,Ferguson,1987-10-13 00:00:00,1-384-651-7350,purus@icloud.edu
42,Deirdre,Hyde,1974-10-13 00:00:00,1-887-667-5432,phasellus@yahoo.com
43,Autumn,Rutledge,1988-01-21 00:00:00,1-776-340-7681,vitae.sodales.nisi@google.edu
44,Remedios,Gibson,1989-04-13 00:00:00,1-407-118-6338,enim@google.ca
45,Solomon,Hull,1980-12-07 00:00:00,1-628-413-5851,quam.quis.diam@outlook.com
46,Breanna,Osborne,1980-05-01 00:00:00,1-612-469-8799,fermentum@outlook.org
47,Quyn,Rios,1974-01-20 00:00:00,1-276-235-7617,et@icloud.couk
48,Sade,Sheppard,1974-09-20 00:00:00,1-768-542-0617,ac.arcu.nunc@outlook.couk
49,Erin,Houston,1984-09-30 00:00:00,1-781-127-3861,congue.turpis@hotmail.org
50,Signe,Riggs,1982-05-27 00:00:00,1-960-385-1045,semper@hotmail.com
51,Kiara,Reilly,1990-06-05 00:00:00,1-879-877-2463,ac@icloud.ca
52,Jacqueline,Henson,1979-12-06 00:00:00,1-713-401-5562,ut.nulla.cras@hotmail.com
53,Chase,Ewing,1986-04-25 00:00:00,1-435-350-8979,leo.vivamus.nibh@hotmail.couk
54,Unity,Madden,1984-06-15 00:00:00,1-525-512-1747,vivamus.nibh.dolor@yahoo.com
55,Lucas,Payne,1987-08-27 00:00:00,1-785-468-5177,ante.ipsum@hotmail.couk
56,Phoebe,Glenn,1981-04-09 00:00:00,1-322-615-2475,non.hendrerit.id@hotmail.couk
57,Orson,Joseph,1989-09-12 00:00:00,1-570-226-2276,tellus.sem.mollis@icloud.com
58,Pandora,Trevino,1990-10-16 00:00:00,1-436-132-1421,aliquam.tincidunt@hotmail.net
59,Juliet,Johns,1975-04-13 00:00:00,1-349-878-5271,velit.egestas@icloud.ca
60,Hayley,Hardin,1982-06-25 00:00:00,1-207-838-5584,elit@google.edu
61,Joelle,Haynes,1990-09-13 00:00:00,1-488-184-7432,lorem.ipsum.dolor@protonmail.couk
62,Alea,Ewing,1979-01-20 00:00:00,1-273-195-6631,pellentesque.habitant@yahoo.edu
63,Bell,Pollard,1989-03-29 00:00:00,1-343-653-6639,tincidunt.aliquam.arcu@yahoo.edu
64,Lance,Albert,1976-01-02 00:00:00,1-544-703-1926,orci.quis.lectus@protonmail.ca
65,Curran,Fowler,1973-09-25 00:00:00,1-778-122-9858,ut.cursus@icloud.edu
66,Eagan,Kline,1986-03-08 00:00:00,1-366-596-0828,et.tristique@yahoo.ca
67,Aiko,Spencer,1990-03-25 00:00:00,1-337-516-2572,donec.nibh.quisque@google.ca
68,Brynn,Bernard,1983-11-20 00:00:00,1-264-596-0538,suspendisse.sagittis.nullam@outlook.com
